,ID,Name,FoodPreference,Age,Sex,Kitchen,Kitchen_Story,Kitchen_Longitude,Kitchen_Latitude,ID_2,Name_2,Age_2,Sex_2
1,1000,Patria Tromp,meat,3,female,no,9,55.37527714878578,41.36330959848859,,,,
2,2000,September King,meat,26,male,yes,1,46.06768975804815,25.64234799753423,,,,
3,3000,Emmanuel Abbott,meat,76,male,yes,4,94.71984237630247,93.63646111852209,,,,
4,4000,Basil Wiza,vegan,31,other,maybe,2,43.31904524360688,86.30856005435191,,,,
5,5000,Savanna Weimann,veggie,20,other,yes,5,33.89156923109947,35.24089793524764,,,,
6,6000,Trent Weber,none,17,other,no,6,35.73197331294248,27.109400046739157,,,,
7,7000,Blaine Ebert,veggie,72,other,no,6,4.588196238884423,83.43112321628223,,,,
8,8000,Seymour Kuhn,vegan,27,male,maybe,7,32.130403581956145,55.546636456123515,,,,
9,9000,Tomas Dare,none,81,male,maybe,9,77.96548834348238,24.028993371914552,,,,
10,10000,Rashad Thiel,meat,30,female,maybe,4,66.72926660977556,86.12276010308885,,,,
11,11000,Caroline Daniel,vegan,76,female,yes,4,97.26653761565066,67.33532607498377,,,,
12,12000,Margy Kassulke,meat,87,male,no,8,32.18900383140122,71.98845654763463,,,,
13,13000,Ashley Kutch,vegan,24,other,yes,0,32.63217728992174,3.0167750487701896,,,,
14,14000,Carmelo Kshlerin,veggie,31,female,yes,1,63.38127229098879,14.586404120707524,,,,
15,15000,Buddy Kilback,none,40,male,maybe,0,32.47476085872014,51.193411399701546,,,,
16,16000,Hubert Hudson,veggie,47,female,maybe,5,20.394340668123643,65.89674793537337,,,,
17,17000,Sol Hirthe,none,56,male,maybe,9,59.3635541039814,87.90186900769807,,,,
18,18000,Anastasia Romaguera,veggie,97,female,no,9,87.21876258773754,37.427553022528755,,,,
19,19000,Kevin Rogahn,meat,99,other,yes,4,38.467825553365124,2.5399617931021474,,,,
20,20000,Dagny Gutkowski,meat,40,other,maybe,1,8.441131751075037,1.590820971195253,,,,
21,21000,Cole Sipes,meat,93,female,no,8,17.87268748173437,17.457602496264897,,,,
22,22000,Laurine Koepp,none,85,female,maybe,8,44.153729007604305,86.95741518563418,,,,
23,23000,Brian Armstrong,vegan,40,female,yes,5,71.38178227361348,47.006205981504806,,,,
24,24000,Vivienne Anderson,veggie,79,other,maybe,3,51.44317441991294,56.34449179540705,,,,
25,25000,Manuela Wunsch,vegan,85,male,no,1,84.74286864747897,33.10960276803556,,,,
26,26000,Candelaria Towne,veggie,1,other,yes,7,75.02128120874164,96.53647115419871,,,,
27,27000,Sherrell Zboncak,meat,19,female,maybe,3,87.00723662405724,40.98863741831842,,,,
28,28000,Adrienne Koch,vegan,63,other,maybe,3,29.5858775022735,83.39081323192484,,,,
29,29000,Flossie Gibson,meat,61,other,yes,6,39.79014025220686,60.99650650488484,,,,
30,30000,Bobbie Mills,meat,7,other,maybe,7,59.56294027938883,93.10356164165113,,,,
31,31000,Yevette Herman,meat,12,other,yes,0,65.26651521414011,81.67105044662225,,,,
32,32000,Santos Bartell,meat,50,male,yes,4,43.418829357312134,56.99138704899263,,,,
33,33000,Darwin Schimmel,meat,29,female,yes,1,28.922871041597677,99.64702614766114,,,,
34,34000,Marcus Kuhn,veggie,42,female,maybe,0,36.277360685853424,18.160258434424254,,,,
35,35000,Lakenya Wuckert,meat,44,other,maybe,1,57.53824043620486,71.16385136090555,,,,
36,36000,Alda Bergstrom,veggie,96,other,no,6,38.86935402216606,9.119751459200364,,,,
37,37000,Edwin Torp,vegan,99,other,no,0,40.68668225667205,92.0237540403465,,,,
38,38000,Lamont Sporer,meat,70,male,maybe,1,32.15899343148158,49.834696581197846,,,,
39,39000,Patrick Feeney,veggie,86,male,no,3,19.493188518810797,46.84111946461997,,,,
40,40000,Ezequiel Willms,none,95,male,no,7,12.919662819626401,79.88117763674975,,,,
41,41000,Dee Doyle,veggie,21,male,yes,7,70.2979330014772,39.138772770502946,,,,
42,42000,Felicita Gerlach,meat,70,female,maybe,0,91.37845417822263,62.850530154999454,,,,
43,43000,Arnulfo Trantow,none,14,male,maybe,1,3.7029331584456546,3.850928306836082,,,,
44,44000,Ariane Pfeffer,vegan,68,male,no,8,85.63117293807647,29.030043135911342,,,,
45,45000,Peggie Boyle,none,13,male,yes,7,53.63138756083537,35.25826011050532,,,,
46,46000,Markus Cormier,meat,2,other,maybe,1,36.17041819531105,71.00617754484813,,,,
47,47000,Estela Murazik,veggie,76,female,no,7,49.12265812582699,32.65279858220757,,,,
48,48000,Dominick Greenholt,vegan,87,other,maybe,4,29.02609627141047,42.07526003930248,,,,
